発表日,北海道,青森,岩手,宮城,秋田,山形,福島,茨城,栃木,群馬,埼玉,千葉,東京,神奈川,新潟,富山,石川,福井,山梨,長野,岐阜,静岡,愛知,三重,滋賀,京都,大阪,兵庫,奈良,和歌山 ,鳥取,島根,岡山,広島,山口,徳島,香川,愛媛,高知,福岡,佐賀,長崎,熊本,大分,宮崎,鹿児島,沖縄
11/4,14,1,0,2,0,1,0,1,0,4,7,12,18,10,0,0,0,0,0,0,10,3,10,7,1,3,36,11,3,2,0,3,14,8,4,0,0,7,1,5,1,0,0,0,0,1,11
11/5,13,0,0,1,0,2,0,1,2,11,7,8,25,6,4,0,0,0,0,1,18,5,21,5,0,5,53,25,3,0,0,2,12,6,0,0,0,2,0,5,2,1,0,0,0,0,6
11/6,4,0,0,0,1,0,1,1,0,1,6,5,14,22,0,0,0,0,0,1,9,1,1,0,2,3,20,10,3,0,0,0,18,3,0,0,0,0,0,9,1,0,0,0,0,0,8
11/7,13,0,0,1,0,0,0,1,2,1,10,7,25,9,0,0,0,0,0,1,17,0,15,3,1,5,32,17,4,0,0,2,12,5,7,0,0,5,0,6,0,1,1,0,0,0,15
11/8,13,0,0,3,0,0,0,2,5,2,6,10,29,14,3,0,0,0,0,1,17,3,12,2,2,4,39,23,0,0,0,2,14,6,3,0,0,5,0,6,3,0,0,0,0,0,3
11/9,10,0,0,0,1,0,0,4,0,1,2,3,21,9,0,0,0,0,0,2,5,1,16,0,1,3,39,2,4,0,0,3,10,7,4,0,0,3,0,1,0,0,0,0,0,0,4
11/10,6,0,0,0,1,0,1,1,2,2,3,4,18,11,0,0,0,1,0,1,2,0,4,0,0,2,15,5,0,0,0,0,6,6,6,0,0,1,0,2,0,0,0,0,0,0,2
11/11,13,1,0,0,2,0,0,2,3,2,14,9,30,12,1,0,0,1,0,1,5,5,5,0,1,8,28,15,4,1,0,0,11,5,2,2,0,1,0,4,2,0,0,0,0,0,4
11/12,8,0,0,1,6,0,1,3,0,3,17,7,25,13,1,0,2,0,0,1,6,2,8,0,0,7,26,15,4,0,0,0,14,4,5,0,0,2,0,7,1,0,0,0,0,0,5
11/13,8,0,0,0,5,0,0,3,1,1,8,7,31,14,2,0,0,0,0,1,4,0,9,0,1,6,64,3,6,0,0,0,9,8,11,1,0,0,0,2,0,0,0,0,0,0,3
11/14,22,1,0,0,1,0,0,6,0,4,9,9,22,19,1,0,1,0,0,0,5,2,18,0,1,7,26,10,0,1,1,0,6,5,2,0,1,0,1,10,0,0,0,0,0,0,3
11/15,19,0,0,1,0,0,0,4,3,1,10,11,24,15,2,0,1,0,0,0,1,8,9,1,1,8,30,15,0,0,0,0,14,7,1,1,1,0,0,5,0,0,1,0,0,0,1
11/16,9,0,1,0,0,0,0,1,1,2,8,5,22,12,0,0,0,0,0,0,2,0,11,0,0,4,18,6,0,1,0,0,9,0,1,0,0,1,0,8,0,0,1,0,0,0,1
11/17,3,0,0,0,0,0,0,2,2,0,11,3,7,18,1,0,0,0,0,0,1,0,2,0,2,1,8,3,0,1,0,0,3,2,0,0,0,0,0,4,0,0,0,0,0,0,0
11/18,35,0,0,0,0,0,0,1,2,4,13,7,15,9,1,0,0,0,0,0,0,2,8,0,3,3,13,12,1,0,0,0,7,2,0,0,0,0,0,5,1,0,0,0,0,0,3
11/19,40,0,0,0,0,0,0,1,5,2,16,6,27,18,0,0,0,0,0,0,3,2,13,1,4,4,18,5,2,0,0,0,17,3,1,0,0,0,0,10,1,0,0,0,0,0,0
11/20,20,0,0,0,0,1,0,2,2,6,1,7,20,21,0,0,1,0,0,0,0,0,6,1,2,12,28,2,2,0,0,0,12,1,0,0,0,0,0,9,0,0,0,0,0,0,0
11/21,17,0,0,0,0,2,1,4,2,5,12,2,16,27,2,0,0,0,0,0,0,0,6,0,0,1,26,3,3,0,0,0,8,2,0,0,0,0,0,8,0,0,0,0,0,0,2
11/22,12,0,0,1,0,0,0,0,0,3,3,3,16,8,2,0,0,0,0,0,1,0,5,0,2,1,17,3,0,0,0,0,5,3,1,0,0,0,0,18,0,1,0,0,0,0,1
11/23,25,0,0,0,0,0,0,3,0,3,7,6,20,18,3,0,0,0,0,0,1,1,2,1,0,7,18,8,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,1,0
11/24,6,0,0,0,0,0,0,1,0,0,3,4,6,10,1,0,0,0,1,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
11/25,14,0,0,2,0,1,0,0,1,0,6,2,17,9,1,0,0,0,0,0,2,3,12,0,0,2,13,6,0,1,0,0,1,1,0,0,0,1,0,12,0,0,0,0,0,0,2
